Drug_Name,DILI-Concern Label,DILI-Risk Level,DILI-Concern Source
cefoxitin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefozopran,Most-DILI-Concern,High,Logistic regression model prediction 
cefpiramide,Other-DILI-Concern,Low,Logistic regression model prediction 
cefpirome,Most-DILI-Concern,High,Logistic regression model prediction 
cefpodoxime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefprozil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefradine,Other-DILI-Concern,Low,Logistic regression model prediction 
cefsulodin,Most-DILI-Concern,High,Logistic regression model prediction 
ceftaroline fosamil,Other-DILI-Concern,Low,Logistic regression model prediction 
ceftazidime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ceftibuten,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ceftizoxime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ceftriaxone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefuroxime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
celecoxib,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
celiprolol,Other-DILI-Concern,Low,Logistic regression model prediction 
cephalexin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cephalothin,Most-DILI-Concern,High,Logistic regression model prediction 
cephapirin,Most-DILI-Concern,High,Logistic regression model prediction 
cephradine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ceramide,Most-DILI-Concern,High,Logistic regression model prediction 
ceritinib,Most-DILI-Concern,High,Logistic regression model prediction 
certolizumab pegol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cetirizine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cetrimonium,Other-DILI-Concern,Low,Logistic regression model prediction 
cetrorelix,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cetuximab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cetylpyridinium,Most-DILI-Concern,High,Logistic regression model prediction 
cevimeline,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chenodeoxycholic acid,Most-DILI-Concern,High,Logistic regression model prediction 
chenodiol,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
chidamide,Most-DILI-Concern,High,Logistic regression model prediction 
chlorambucil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chloramphenicol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorcyclizine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlordiazepoxide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorhexidine,Other-DILI-Concern,Low,Logistic regression model prediction 
chlormadinone,Most-DILI-Concern,High,Logistic regression model prediction 
chlormezanone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
chlormidazole,Most-DILI-Concern,High,Logistic regression model prediction 
chlorobutanol,Other-DILI-Concern,Low,Logistic regression model prediction 
chlorocresol,Other-DILI-Concern,Low,Logistic regression model prediction 
chlorogenic acid,Most-DILI-Concern,High,Logistic regression model prediction 
chloroprocaine,Other-DILI-Concern,Low,Logistic regression model prediction 
chloropyramine,Most-DILI-Concern,High,Logistic regression model prediction 
chloroquine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorothiazide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorotrianisene,Most-DILI-Concern,High,Logistic regression model prediction 
chloroxine,Most-DILI-Concern,High,Logistic regression model prediction 
chloroxylenol,Other-DILI-Concern,Low,Logistic regression model prediction 
chlorphenamine,Other-DILI-Concern,Low,Logistic regression model prediction 
chlorphenesin,Other-DILI-Concern,Low,Logistic regression model prediction 
chlorpheniramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorproguanil,Most-DILI-Concern,High,Logistic regression model prediction 
chlorpromazine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorpropamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorprothixene,Other-DILI-Concern,Low,Logistic regression model prediction 
chlorquinaldol,Most-DILI-Concern,High,Logistic regression model prediction 
chlortetracycline,Other-DILI-Concern,Low,Logistic regression model prediction 
chlorthalidone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chlorzoxazone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cholecalciferol,Other-DILI-Concern,Low,Logistic regression model prediction 
cholestyramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
choline alfoscerate,Other-DILI-Concern,Low,Logistic regression model prediction 
choriogonadotropin alfa,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
chromocarb,Other-DILI-Concern,Low,Logistic regression model prediction 
cianidanol,Most-DILI-Concern,High,Logistic regression model prediction 
cibenzoline,Other-DILI-Concern,Low,Logistic regression model prediction 
ciclesonide,Other-DILI-Concern,Low,Logistic regression model prediction 
ciclopirox,Other-DILI-Concern,Low,Logistic regression model prediction 
cidofovir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cilastatin,Most-DILI-Concern,High,Logistic regression model prediction 
cilazapril,Other-DILI-Concern,Low,Logistic regression model prediction 
cilnidipine,Most-DILI-Concern,High,Logistic regression model prediction 
cilostazol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cimetidine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cinacalcet,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cinchocaine,Other-DILI-Concern,Low,Logistic regression model prediction 
cinchophen,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cinepazide,Other-DILI-Concern,Low,Logistic regression model prediction 
cinoxacin,Other-DILI-Concern,Low,Logistic regression model prediction 
ciprofibrate,Other-DILI-Concern,Low,Logistic regression model prediction 
ciprofloxacin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cisapride,Most-DILI-Concern,High,Logistic regression model prediction 
cisatracurium besylate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cisplatin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
citalopram,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
citicoline,Other-DILI-Concern,Low,Logistic regression model prediction 
citrulline,Other-DILI-Concern,Low,Logistic regression model prediction 
cladribine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clarithromycin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clebopride,Other-DILI-Concern,Low,Logistic regression model prediction 
clemastine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clemizole,Most-DILI-Concern,High,Logistic regression model prediction 
clenbuterol,Other-DILI-Concern,Low,Logistic regression model prediction 
clevidipine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cleviprex,Other-DILI-Concern,Low,Logistic regression model prediction 
clevudine,Other-DILI-Concern,Low,Logistic regression model prediction 
clidinium,Other-DILI-Concern,Low,Logistic regression model prediction 
clindamycin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clindamycin-2-phosphate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clinofibrate,Most-DILI-Concern,High,Logistic regression model prediction 
clioquinol,Other-DILI-Concern,Low,Logistic regression model prediction 
clobazam,Other-DILI-Concern,Low,Logistic regression model prediction 
clobetasol,Other-DILI-Concern,Low,Logistic regression model prediction 
clobutinol,Other-DILI-Concern,Low,Logistic regression model prediction 
clocortolone,Other-DILI-Concern,Low,Logistic regression model prediction 
clodronic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
clofarabine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clofedanol,Other-DILI-Concern,Low,Logistic regression model prediction 
clofibrate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clofibric acid,Most-DILI-Concern,High,Logistic regression model prediction 
clofoctol,Most-DILI-Concern,High,Logistic regression model prediction 
clomacran,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clometacin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clomethiazole,Other-DILI-Concern,Low,Logistic regression model prediction 
clomifene,Most-DILI-Concern,High,Logistic regression model prediction 
clomiphene,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clomipramine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clonazepam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clonidine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clonixin,Other-DILI-Concern,Low,Logistic regression model prediction 
clopamide,Other-DILI-Concern,Low,Logistic regression model prediction 
cloperastine,Other-DILI-Concern,Low,Logistic regression model prediction 
clopidogrel,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clorazepate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clorotepine,Most-DILI-Concern,High,Logistic regression model prediction 
clorprenaline,Most-DILI-Concern,High,Logistic regression model prediction 
clotiapine,Most-DILI-Concern,High,Logistic regression model prediction 
clotrimazole,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cloxacillin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clozapine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cobicistat,Other-DILI-Concern,Low,Logistic regression model prediction 
cobimetinib,Other-DILI-Concern,Low,Logistic regression model prediction 
codeine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
coenzyme a,Most-DILI-Concern,High,Logistic regression model prediction 
coenzyme q10,Other-DILI-Concern,Low,Logistic regression model prediction 
colchicine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colesevelam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colestipol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colforsin,Other-DILI-Concern,Low,Logistic regression model prediction 
colfosceril palmitate,Other-DILI-Concern,Low,Logistic regression model prediction 
colistimethate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colistin,Other-DILI-Concern,Low,Logistic regression model prediction 
conivaptan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
conjugated linoleic acid,Most-DILI-Concern,High,Logistic regression model prediction 
copanlisib,Most-DILI-Concern,High,Logistic regression model prediction 
corticorelin ovine triflutate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
corticotropin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cortisone acetate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cosyntropin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
coumarin,Most-DILI-Concern,High,Logistic regression model prediction 
creatine,Other-DILI-Concern,Low,Logistic regression model prediction 
cresol,Other-DILI-Concern,Low,Logistic regression model prediction 
cridanimod,Other-DILI-Concern,Low,Logistic regression model prediction 
crizotinib,Most-DILI-Concern,High,Logistic regression model prediction 
croconazole,Other-DILI-Concern,Low,Logistic regression model prediction 
cromoglicate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cromoglicic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
crotamiton,Other-DILI-Concern,Low,Logistic regression model prediction 
cupric chloride,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
curcumin,Most-DILI-Concern,High,Logistic regression model prediction 
cyamemazine,Most-DILI-Concern,High,Logistic regression model prediction 
cyanocobalamin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cyclandelate,Most-DILI-Concern,High,Logistic regression model prediction 
cyclizine,Other-DILI-Concern,Low,Logistic regression model prediction 
cyclobenzaprine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cyclofenil,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cyclopenthiazide,Most-DILI-Concern,High,Logistic regression model prediction 
cyclopentolate,Other-DILI-Concern,Low,Logistic regression model prediction 
cyclophosphamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cycloserine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cyclosporine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cyclothiazide,Most-DILI-Concern,High,Logistic regression model prediction 
cyclovalone,Most-DILI-Concern,High,Logistic regression model prediction 
cyproheptadine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cyproterone,Most-DILI-Concern,High,Logistic regression model prediction 
cysteamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cystine,Other-DILI-Concern,Low,Logistic regression model prediction 
cytarabine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cytisine,Other-DILI-Concern,Low,Logistic regression model prediction 
dabigatran,Other-DILI-Concern,Low,Logistic regression model prediction 
dabrafenib,Most-DILI-Concern,High,Logistic regression model prediction 
dacarbazine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
daclatasvir,Most-DILI-Concern,High,Logistic regression model prediction 
dactinomycin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dalbavancin,Other-DILI-Concern,Low,Logistic regression model prediction 
dalfampridine,Other-DILI-Concern,Low,Logistic regression model prediction 
dalteparin sodium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
danazol,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dantrolene,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dantron,Most-DILI-Concern,High,Logistic regression model prediction 
dapagliflozin,Other-DILI-Concern,Low,Logistic regression model prediction 
dapiprazole,Other-DILI-Concern,Low,Logistic regression model prediction 
dapoxetine,Other-DILI-Concern,Low,Logistic regression model prediction 
dapsone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
daptomycin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
darbepoetin alfa,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
darifenacin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
darunavir,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dasabuvir,Most-DILI-Concern,High,Logistic regression model prediction 
dasatinib,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
daunorubicin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
debrisoquin,Other-DILI-Concern,Low,Logistic regression model prediction 
decamethonium,Other-DILI-Concern,Low,Logistic regression model prediction 
decitabine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
deferasirox,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
deferiprone,Most-DILI-Concern,High,Logistic regression model prediction 
deferoxamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
deflazacort,Other-DILI-Concern,Low,Logistic regression model prediction 
degarelix,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dehydroepiandrosterone,Other-DILI-Concern,Low,Logistic regression model prediction 
delamanid,Most-DILI-Concern,High,Logistic regression model prediction 
delapril,Most-DILI-Concern,High,Logistic regression model prediction 
delavirdine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
delivert,Most-DILI-Concern,High,Logistic regression model prediction 
demecarium,Most-DILI-Concern,High,Logistic regression model prediction 
demeclocycline,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
denileukin diftitox,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
denotivir,Most-DILI-Concern,High,Logistic regression model prediction 
dequalinium,Other-DILI-Concern,Low,Logistic regression model prediction 
dermatan,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
deserpidine,Other-DILI-Concern,Low,Logistic regression model prediction 
desipramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
deslanoside,Other-DILI-Concern,Low,Logistic regression model prediction 
desloratadine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
desmopressin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
desogestrel,Other-DILI-Concern,Low,Logistic regression model prediction 
desonide,Other-DILI-Concern,Low,Logistic regression model prediction 
desoximetasone,Other-DILI-Concern,Low,Logistic regression model prediction 
desoxycorticosterone,Most-DILI-Concern,High,Logistic regression model prediction 
desvenlafaxine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexamethasone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexbrompheniramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexchlorpheniramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexfenfluramine,Most-DILI-Concern,High,Logistic regression model prediction 
dexlansoprazole,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexmedetomidine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexmethylphenidate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexpanthenol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dexrazoxane,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dextran,Other-DILI-Concern,Low,Logistic regression model prediction 
dextroamphetamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dextromethorphan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dextrose,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
diacerein,Other-DILI-Concern,Low,Logistic regression model prediction 
diatrizoate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
diatrizoic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
diazepam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
diazoxide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dibekacin,Most-DILI-Concern,High,Logistic regression model prediction 
dichlorophen,Other-DILI-Concern,Low,Logistic regression model prediction 
dichlorphenamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dichlorvos,Other-DILI-Concern,Low,Logistic regression model prediction 
diclofenac,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
diclofenamide,Other-DILI-Concern,Low,Logistic regression model prediction 
dicloxacillin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dicoumarol,Most-DILI-Concern,High,Logistic regression model prediction 
dicyclomine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dicycloverine,Other-DILI-Concern,Low,Logistic regression model prediction 
didanosine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
didox,Most-DILI-Concern,High,Logistic regression model prediction 
dienestrol,Other-DILI-Concern,Low,Logistic regression model prediction 
dienogest,Other-DILI-Concern,Low,Logistic regression model prediction 
diethylcarbamazine,Other-DILI-Concern,Low,Logistic regression model prediction 
diethylpropion,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
diethylstilbestrol,Most-DILI-Concern,High,Logistic regression model prediction 
diethyltoluamide,Other-DILI-Concern,Low,Logistic regression model prediction 
diflorasone,Other-DILI-Concern,Low,Logistic regression model prediction 
diflunisal,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
difluprednate,Other-DILI-Concern,Low,Logistic regression model prediction 
digitoxin,Other-DILI-Concern,Low,Logistic regression model prediction 
digoxin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dihydroartemisinin,Other-DILI-Concern,Low,Logistic regression model prediction 
dihydroergocristine,Other-DILI-Concern,Low,Logistic regression model prediction 
dihydroergotamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dihydrostreptomycin,Other-DILI-Concern,Low,Logistic regression model prediction 
dihydrotachysterol,Other-DILI-Concern,Low,Logistic regression model prediction 
dihydrotestosterone,Most-DILI-Concern,High,Logistic regression model prediction 
dihydroxyacetone,Most-DILI-Concern,High,Logistic regression model prediction 
dilazep,Most-DILI-Concern,High,Logistic regression model prediction 
diloxanide,Other-DILI-Concern,Low,Logistic regression model prediction 
diltiazem,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dimemorfan,Other-DILI-Concern,Low,Logistic regression model prediction 
dimenhydrinate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dimercaprol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dimercaptosuccinic acid,Most-DILI-Concern,High,Logistic regression model prediction 
dimethicone,Other-DILI-Concern,Low,Logistic regression model prediction 
dimethisoquin,Most-DILI-Concern,High,Logistic regression model prediction 
dimetindene,Other-DILI-Concern,Low,Logistic regression model prediction 
dimpylate,Most-DILI-Concern,High,Logistic regression model prediction 
dinoprost,Other-DILI-Concern,Low,Logistic regression model prediction 
dinoprostone,Other-DILI-Concern,Low,Logistic regression model prediction 
diosmin,Other-DILI-Concern,Low,Logistic regression model prediction 
dipeptamin,Other-DILI-Concern,Low,Logistic regression model prediction 
diphenhydramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
diphenidol,Other-DILI-Concern,Low,Logistic regression model prediction 
diphenoxylate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
diphenylpyraline,Other-DILI-Concern,Low,Logistic regression model prediction 
dipivefrine,Other-DILI-Concern,Low,Logistic regression model prediction 
dipyridamole,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dipyrocetyl,Other-DILI-Concern,Low,Logistic regression model prediction 
dirithromycin,Other-DILI-Concern,Low,Logistic regression model prediction 
disopyramide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
disulfiram,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dithranol,Other-DILI-Concern,Low,Logistic regression model prediction 
divalproex sodium,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dobutamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
docetaxel,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doconexent,Most-DILI-Concern,High,Logistic regression model prediction 
docosanol,Other-DILI-Concern,Low,Logistic regression model prediction 
docusate,Other-DILI-Concern,Low,Logistic regression model prediction 
dofetilide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dolasetron,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dolutegravir,Other-DILI-Concern,Low,Logistic regression model prediction 
domperidone,Most-DILI-Concern,High,Logistic regression model prediction 
donepezil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dopamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doripenem,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dorzolamide,Other-DILI-Concern,Low,Logistic regression model prediction 
dosulepin,Most-DILI-Concern,High,Logistic regression model prediction 
doxapram,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doxazosin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doxepin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doxercalciferol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doxifluridine,Most-DILI-Concern,High,Logistic regression model prediction 
doxofylline,Other-DILI-Concern,Low,Logistic regression model prediction 
doxorubicin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doxycycline,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
doxylamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
drofenine,Other-DILI-Concern,Low,Logistic regression model prediction 
dromostanolone,Most-DILI-Concern,High,Logistic regression model prediction 
dronedarone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
droperidol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dropropizine,Other-DILI-Concern,Low,Logistic regression model prediction 
drospirenone,Most-DILI-Concern,High,Logistic regression model prediction 
drotaverine,Other-DILI-Concern,Low,Logistic regression model prediction 
droxicam,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
droxidopa,Other-DILI-Concern,Low,Logistic regression model prediction 
duloxetine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
dutasteride,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
dyclonine,Other-DILI-Concern,Low,Logistic regression model prediction 
dydrogesterone,Most-DILI-Concern,High,Logistic regression model prediction 
dyphylline,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ebastine,Other-DILI-Concern,Low,Logistic regression model prediction 
ebrotidine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ecabet,Other-DILI-Concern,Low,Logistic regression model prediction 
ecallantide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
econazole,Other-DILI-Concern,Low,Logistic regression model prediction 
eculizumab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
edaravone,Most-DILI-Concern,High,Logistic regression model prediction 
edetic acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
edoxaban,Other-DILI-Concern,Low,Logistic regression model prediction 
edrophonium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
efavirenz,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
efinaconazole,Other-DILI-Concern,Low,Logistic regression model prediction 
eflornithine,Other-DILI-Concern,Low,Logistic regression model prediction 
efonidipine,Most-DILI-Concern,High,Logistic regression model prediction 
elbasvir,Other-DILI-Concern,Low,Logistic regression model prediction 
eletriptan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
eliglustat,Other-DILI-Concern,Low,Logistic regression model prediction 
eltrombopag olamine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
eluxadoline,Other-DILI-Concern,Low,Logistic regression model prediction 
elvitegravir,Most-DILI-Concern,High,Logistic regression model prediction 
emedastine,Other-DILI-Concern,Low,Logistic regression model prediction 
emorfazone,Most-DILI-Concern,High,Logistic regression model prediction 
empagliflozin,Other-DILI-Concern,Low,Logistic regression model prediction 
emtricitabine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
enalapril,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
enalaprilat,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
enasidenib,Other-DILI-Concern,Low,Logistic regression model prediction 
enbucrilate,Most-DILI-Concern,High,Logistic regression model prediction 
enflurane,Most-DILI-Concern,High,Logistic regression model prediction 
enfuvirtide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
enisamium iodide,Most-DILI-Concern,High,Logistic regression model prediction 
enocitabine,Most-DILI-Concern,High,Logistic regression model prediction 
enoxacin,Other-DILI-Concern,Low,Logistic regression model prediction 
enoxaparin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
enoximone,Most-DILI-Concern,High,Logistic regression model prediction 
enoxolone,Other-DILI-Concern,Low,Logistic regression model prediction 
entacapone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
entecavir,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
enzalutamide,Other-DILI-Concern,Low,Logistic regression model prediction 
epalrestat,Most-DILI-Concern,High,Logistic regression model prediction 
eperisone,Other-DILI-Concern,Low,Logistic regression model prediction 
ephedrine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
epinastine,Other-DILI-Concern,Low,Logistic regression model prediction 
epinephrine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
