drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,DILIConcern,DILI Risk Level,DILIConcern source
cidofovir,0.043292683,0.006097561,0.007317073,0.00304878,0.000609756,0.098170732,0.053658537,0.175609756,0.007926829,0.015853659,0.069512195,0.050609756,0.05,0.038414634,0.004878049,0.012195122,0.043292683,0.000609756,0,0.009756098,0.223170732,0.00304878,0.02804878,0.029878049,0.001829268,0.005487805,0.017682927,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cilastatin,0.1,0.011111111,0,0,0,0.011111111,0.088888889,0.066666667,0.055555556,0.033333333,0.111111111,0,0.011111111,0.055555556,0.011111111,0.011111111,0.088888889,0,0,0,0.077777778,0,0.055555556,0.2,0,0,0.011111111,Most-DILI-Concern,High,Logistic regression model predictions 
cilazapril,0.011008366,0.0444738,0.001761339,0.010568032,0.000440335,0.008366358,0.103478644,0.111404668,0.004843681,0.005284016,0.013650374,0.004843681,0.018053721,0.026420079,0.026420079,0.005284016,0.12681638,0,0.003963012,0.030383091,0.033905768,0.010127697,0.184059886,0.164244826,0,0.000880669,0.049317481,Other-DILI-Concern,Low,Logistic regression model predictions 
cilnidipine,0.007058824,0.032941176,0.001176471,0.003529412,0.001176471,0.016470588,0.131764706,0.143529412,0.02,0.001176471,0.048235294,0.012941176,0.056470588,0.029411765,0.034117647,0.008235294,0.189411765,0,0,0.018823529,0.038823529,0.007058824,0.037647059,0.074117647,0,0.003529412,0.082352941,Most-DILI-Concern,High,Logistic regression model predictions 
cilostazol,0.023668115,0.107614573,0.000797802,0.007800727,0.001418314,0.015512809,0.124722986,0.096002127,0.012410247,0.004964099,0.02818899,0.044322312,0.039535502,0.02109742,0.026593387,0.012232958,0.244925095,0.000177289,0.002836628,0.017462991,0.02242709,0.003279851,0.041928907,0.045208758,0.000797802,0.006382413,0.047690808,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cimetidine,0.045033775,0.033931699,0.001407305,0.008037278,0.002282962,0.016793845,0.151300976,0.115524143,0.025738054,0.017388041,0.012728296,0.007943458,0.026801351,0.013947961,0.022985989,0.008694021,0.123936703,0.000719289,0.00090693,0.073617713,0.024612209,0.063797848,0.030835627,0.142732049,0.000218914,0.000344008,0.027739555,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cinacalcet,0.002569976,0.014321098,0.002309254,0.001415349,0.002830698,0.003482504,0.109633685,0.141870123,0.001899547,0.003743226,0.019479673,0.240944559,0.126543382,0.034508446,0.027115109,0.004413654,0.040300203,0.000577313,0.000633182,0.010056428,0.00543792,0.001154627,0.012384305,0.016853828,0.004935099,0.154645511,0.0159413,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cinchocaine,0.004385965,0.030701754,0,0.00877193,0.004385965,0.021929825,0.074561404,0.179824561,0.004385965,0.039473684,0.00877193,0.096491228,0.026315789,0.00877193,0.030701754,0.030701754,0.083333333,0,0.043859649,0.01754386,0.030701754,0.004385965,0.030701754,0.166666667,0.00877193,0.004385965,0.039473684,Other-DILI-Concern,Low,Logistic regression model predictions 
cinepazide,0.018879799,0.082127124,0,0.006293266,0,0.011642542,0.151667716,0.258653241,0.011642542,0.019823789,0.000314663,0.003461296,0.027690371,0.000629327,0.012271869,0,0.187853996,0,0,0.015733166,0.00377596,0.000314663,0.049716803,0.08936438,0,0.000314663,0.047828823,Other-DILI-Concern,Low,Logistic regression model predictions 
cinoxacin,0.030716724,0.005119454,0,0.010238908,0,0.011945392,0.109215017,0.068259386,0.008532423,0.107508532,0.015358362,0.005119454,0.020477816,0.005119454,0.030716724,0,0.098976109,0.005119454,0,0.020477816,0.017064846,0.005119454,0.056313993,0.327645051,0,0.001706485,0.039249147,Other-DILI-Concern,Low,Logistic regression model predictions 
ciprofibrate,0.022480058,0.009427121,0,0.011602611,0.003625816,0.005076142,0.101522843,0.079042785,0.045685279,0.004350979,0.011602611,0.011602611,0.113850616,0.024655547,0.193618564,0,0.093546048,0.002175489,0.000725163,0.0275562,0.031907179,0.028281363,0.025380711,0.14213198,0,0,0.010152284,Other-DILI-Concern,Low,Logistic regression model predictions 
ciprofloxacin,0.019916996,0.018255643,0.001090464,0.010609569,0.000865956,0.022341674,0.109546688,0.116365292,0.01476616,0.035594014,0.028512415,0.027909453,0.032245649,0.01249543,0.07400399,0.001122536,0.092118514,0.000525988,0.001706255,0.04277183,0.023034439,0.003790965,0.028839554,0.252358929,0.005696069,0.002065466,0.02145006,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cisapride,0.012049806,0.164412907,0.00100415,0.004150489,0.002610791,0.01432588,0.124113,0.147944839,0.012853126,0.003681885,0.018944973,0.01452671,0.093586826,0.022492971,0.017405275,0.003481055,0.130740394,0.001606641,0.00020083,0.06065069,0.023898782,0.008167091,0.045655376,0.043446244,0.000669434,0.003213282,0.024166555,Most-DILI-Concern,High,Logistic regression model predictions 
cisplatin,0.171999155,0.020847196,0.001111642,0.011719209,0.002489451,0.005080672,0.183726192,0.107163826,0.008282514,0.008125944,0.044904062,0.019117106,0.065297208,0.066408849,0.015829152,0.019751211,0.059300605,0.000649762,0.000555821,0.010889392,0.036089213,0.001925802,0.046955119,0.05647453,0.000806332,0.002043229,0.032456806,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
citalopram,0.011355443,0.048380798,0.006714131,0.007960827,0.006233478,0.019271209,0.076739366,0.119938116,0.008261235,0.008952175,0.010469238,0.085391132,0.047689858,0.038602499,0.025309421,0.001967676,0.148446888,0.006083273,0.00739005,0.163362173,0.014149243,0.018715453,0.032143715,0.055049868,0.004986782,0.003379596,0.023056357,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
citicoline,0.002696629,0.076629213,0,0.009213483,0,0.008764045,0.120674157,0.239325843,0.005168539,0.039775281,0.000898876,0.003595506,0.020674157,0.004044944,0.008539326,0.000449438,0.124044944,0,0,0.048089888,0.004719101,0.000224719,0.095730337,0.153932584,0.000224719,0,0.03258427,Other-DILI-Concern,Low,Logistic regression model predictions 
citrulline,0.017467249,0.004366812,0,0,0,0,0.458515284,0.061135371,0.004366812,0.004366812,0.008733624,0.017467249,0.131004367,0.030567686,0.013100437,0,0.061135371,0.004366812,0.030567686,0.026200873,0.008733624,0,0.017467249,0.091703057,0,0,0.008733624,Other-DILI-Concern,Low,Logistic regression model predictions 
cladribine,0.092350377,0.010899723,0.001981768,0.008125248,0.002378121,0.012485137,0.066785573,0.158343242,0.013476021,0.009116132,0.108006342,0.043995244,0.060245739,0.016052319,0.034482759,0.037851764,0.120689655,0.000792707,0.002378121,0.026159334,0.015259612,0.007134364,0.042806183,0.083828775,0.000792707,0.003567182,0.020015854,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clarithromycin,0.016001653,0.03220997,0.002125681,0.013418361,0.00061999,0.017285919,0.178896713,0.11542152,0.022482028,0.026438156,0.029848102,0.015175,0.044609775,0.020592534,0.024961989,0.001978064,0.124558995,0.001697592,0.001564737,0.05532675,0.017876386,0.003336138,0.037096084,0.176564368,0.00053142,0.001077602,0.018304474,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clebopride,0.002587322,0.005174644,0.001293661,0.010349288,0.001293661,0.055627426,0.069857697,0.058214748,0.001293661,0.002587322,0,0.007761966,0.005174644,0.002587322,0.075032342,0,0.552393273,0,0,0.063389392,0.005174644,0.023285899,0.018111255,0.033635188,0,0,0.005174644,Other-DILI-Concern,Low,Logistic regression model predictions 
clemastine,0.018436578,0.053097345,0.007374631,0.009587021,0.000737463,0.027286136,0.08259587,0.14380531,0.010324484,0.056047198,0.019911504,0.038348083,0.03539823,0.01179941,0.017699115,0.002949853,0.148967552,0.010324484,0.003687316,0.051622419,0.013274336,0.010324484,0.051622419,0.118731563,0,0.001474926,0.054572271,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clemizole,0,0,0,0,0,0,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
clenbuterol,0.007259528,0.12522686,0.003629764,0.003629764,0.003629764,0.016333938,0.076225045,0.078039927,0.01814882,0.001814882,0.00907441,0.054446461,0.045372051,0.038112523,0.043557169,0.001814882,0.163339383,0.001814882,0,0.11615245,0.029038113,0.00907441,0.047186933,0.076225045,0.003629764,0,0.02722323,Other-DILI-Concern,Low,Logistic regression model predictions 
clevidipine,0.006535948,0.130718954,0,0,0,0.006535948,0.039215686,0.147058824,0,0.013071895,0.003267974,0.117647059,0.14379085,0.026143791,0,0,0.035947712,0,0.032679739,0.019607843,0.019607843,0,0.117647059,0.009803922,0,0,0.130718954,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cleviprex,0.006514658,0.13029316,0,0,0,0.006514658,0.039087948,0.146579805,0,0.013029316,0.003257329,0.117263844,0.143322476,0.026058632,0,0,0.035830619,0,0.03257329,0.019543974,0.019543974,0,0.120521173,0.009771987,0,0,0.13029316,Other-DILI-Concern,Low,Logistic regression model predictions 
clevudine,0.007042254,0.005533199,0.001006036,0.004527163,0.002012072,0.009557344,0.179577465,0.09305835,0.019114688,0.001509054,0.084004024,0.016096579,0.110663984,0.023641851,0.210764588,0.022635815,0.075452716,0,0,0.022635815,0.009054326,0.013078471,0.035211268,0.042253521,0,0,0.011569416,Other-DILI-Concern,Low,Logistic regression model predictions 
clidinium,0,0,0.033333333,0.033333333,0,0.066666667,0.133333333,0.1,0,0.066666667,0,0.133333333,0.033333333,0,0,0,0.133333333,0,0,0.133333333,0.033333333,0,0,0.066666667,0.033333333,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
clindamycin,0.014146272,0.023496959,0.000976093,0.005361437,0.000396096,0.012406281,0.154675343,0.109534588,0.009138492,0.062102136,0.040953459,0.013057009,0.021346725,0.00800679,0.014259443,0.00083463,0.099490734,0.001471212,0.003281935,0.011048239,0.013424813,0.004654124,0.03996322,0.311515066,0.00083463,0.001796577,0.021827698,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clinofibrate,0.041666667,0,0,0,0,0,0,0.041666667,0.083333333,0,0.041666667,0,0.041666667,0.041666667,0.125,0,0,0,0,0,0,0,0,0.583333333,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
clioquinol,0.004255319,0.021276596,0,0.012765957,0.004255319,0.055319149,0.114893617,0.123404255,0.004255319,0.012765957,0,0.008510638,0.025531915,0.008510638,0.017021277,0,0.161702128,0,0,0.034042553,0.029787234,0.017021277,0.008510638,0.319148936,0,0,0.017021277,Other-DILI-Concern,Low,Logistic regression model predictions 
clobazam,0.014759214,0.008180821,0.013325462,0.007084423,0.001686767,0.017120688,0.050687358,0.148772877,0.010710972,0.004554272,0.019313486,0.069916505,0.046892131,0.024795479,0.016445981,0.002277136,0.303280762,0.006915746,0.006831408,0.10786877,0.010879649,0.005735009,0.026060555,0.059711563,0.002614489,0.005735009,0.007843468,Other-DILI-Concern,Low,Logistic regression model predictions 
clobetasol,0.004027091,0.004942339,0.001830496,0.003294893,0.031850632,0.025809995,0.033864177,0.197144426,0.001464397,0.012081274,0.043016658,0.101775581,0.026725243,0.017389713,0.02343035,0.006955885,0.0697419,0.002013546,0.028555739,0.026176094,0.006406736,0.008054183,0.014643969,0.285374336,0.003844042,0.002745744,0.016840564,Other-DILI-Concern,Low,Logistic regression model predictions 
clobutinol,0.02173913,0.025362319,0.007246377,0.023550725,0.001811594,0.014492754,0.10326087,0.063405797,0.009057971,0.019927536,0.009057971,0.030797101,0.025362319,0.007246377,0.027173913,0,0.210144928,0.003623188,0,0.079710145,0.012681159,0,0.059782609,0.231884058,0,0,0.012681159,Other-DILI-Concern,Low,Logistic regression model predictions 
clocortolone,0,0,0.010989011,0,0.032967033,0.043956044,0.032967033,0.131868132,0,0.164835165,0.021978022,0.043956044,0.021978022,0,0,0,0.10989011,0,0.065934066,0.021978022,0,0,0.021978022,0.274725275,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
clodronic acid,0.034376918,0.020257827,0,0.005524862,0.001227747,0.0208717,0.114180479,0.095764273,0.017188459,0.007980356,0.032535298,0.017188459,0.034990792,0.047268263,0.241866176,0.014119091,0.044198895,0.000613874,0.000613874,0.020257827,0.081031308,0.003069368,0.030079804,0.085328422,0.000613874,0.006752609,0.022099448,Other-DILI-Concern,Low,Logistic regression model predictions 
clofarabine,0.110952449,0.04012566,0.002284735,0.000856776,0.000856776,0.00599743,0.083821219,0.10281308,0.034556619,0.016849921,0.130801085,0.023561331,0.091817792,0.037698129,0.017849493,0.031557904,0.0422676,0.000142796,0,0.017563901,0.047836641,0.001999143,0.067114094,0.037555333,0.001285164,0.011138084,0.040696844,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clofedanol,0,0.028301887,0,0.018867925,0,0.037735849,0.066037736,0.075471698,0.018867925,0.009433962,0.009433962,0,0,0.018867925,0.037735849,0,0.113207547,0,0,0.056603774,0.018867925,0,0.066037736,0.41509434,0,0,0.009433962,Other-DILI-Concern,Low,Logistic regression model predictions 
clofibrate,0.073593074,0.023376623,0.004329004,0.007792208,0.002597403,0.018181818,0.091774892,0.092640693,0.064935065,0.004329004,0.017316017,0.000865801,0.051082251,0.026839827,0.106493506,0.031168831,0.090909091,0.000865801,0,0.026839827,0.033766234,0.040692641,0.015584416,0.161038961,0,0,0.012987013,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clofibric acid,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
clofoctol,0.024691358,0.012345679,0,0.012345679,0,0.012345679,0.117283951,0.092592593,0.018518519,0.00617284,0.018518519,0.00617284,0.012345679,0,0,0,0.018518519,0,0,0.018518519,0.012345679,0.00617284,0.043209877,0.561728395,0,0,0.00617284,Most-DILI-Concern,High,Logistic regression model predictions 
clomacran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.75,0,0,0,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clometacin,0.12745098,0,0,0,0.009803922,0,0.029411765,0.019607843,0.460784314,0,0,0,0.12745098,0.019607843,0.009803922,0,0.029411765,0,0,0,0.117647059,0,0.009803922,0.039215686,0,0,0,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clomethiazole,0.014882381,0.03168507,0.00144023,0.003840614,0.00144023,0.039366299,0.049927988,0.090734518,0.032165146,0.023523764,0.080172828,0.041766683,0.02256361,0.01056169,0.006240999,0.000480077,0.165146423,0.00144023,0.002880461,0.112818051,0.01056169,0.002880461,0.089774364,0.127700432,0.002400384,0.001920307,0.03168507,Other-DILI-Concern,Low,Logistic regression model predictions 
clomifene,0.009172442,0.015287403,0.062576437,0.013045251,0.006522625,0.106400326,0.07582552,0.071545047,0.013452915,0.004076641,0.013656747,0.044435385,0.03098247,0.011822258,0.023644517,0.040562576,0.112922951,0.053200163,0.001426824,0.05890746,0.010191602,0.067264574,0.019364044,0.087036282,0.001630656,0.002649817,0.042397065,Most-DILI-Concern,High,Logistic regression model predictions 
clomiphene,0.009266886,0.01523888,0.063220758,0.012973641,0.006589786,0.10708402,0.075164745,0.071252059,0.013591433,0.004118616,0.013385502,0.044275124,0.031095552,0.011943987,0.023682043,0.040156507,0.113467875,0.053130148,0.001235585,0.05869028,0.01009061,0.066721582,0.019357496,0.087520593,0.001647446,0.0026771,0.042421746,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clomipramine,0.026462223,0.04346482,0.007233832,0.011561766,0.008532212,0.020279461,0.089340918,0.097378509,0.028317052,0.00234945,0.009088661,0.037714851,0.059169037,0.028749845,0.021825151,0.002102139,0.175590454,0.007172004,0.001793001,0.109744034,0.023556325,0.031470261,0.027575121,0.084209225,0.001112897,0.001978484,0.042228268,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
clonazepam,0.010888086,0.042564068,0.003799755,0.00804253,0.002555889,0.016800709,0.060813113,0.150541848,0.007497274,0.007326881,0.011995638,0.099236641,0.041064613,0.018981734,0.026734597,0.002743321,0.167035851,0.005554798,0.016272492,0.172011314,0.011314068,0.006696429,0.040485278,0.039940022,0.009371592,0.004617639,0.015113822,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clonidine,0.006007759,0.052181675,0.001510522,0.004806207,0.001819493,0.016753064,0.059150675,0.185828556,0.004153936,0.012564798,0.016032133,0.06982732,0.058155103,0.016650074,0.024648975,0.005355488,0.125407669,0.001750833,0.025850527,0.0839713,0.01400666,0.007621271,0.033437468,0.085275842,0.003982286,0.003570325,0.079680044,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clonixin,0.009602195,0.024691358,0,0.005486968,0,0.034293553,0.174211248,0.198902606,0.008230453,0.023319616,0.005486968,0.001371742,0.008230453,0.006858711,0.005486968,0,0.076817558,0,0,0.020576132,0.015089163,0.008230453,0.056241427,0.282578875,0,0,0.034293553,Other-DILI-Concern,Low,Logistic regression model predictions 
clopamide,0.09375,0.03125,0.010416667,0.020833333,0,0.010416667,0.052083333,0.072916667,0,0.010416667,0,0.020833333,0.010416667,0.1875,0.010416667,0,0.104166667,0,0,0.020833333,0.03125,0.010416667,0.020833333,0.208333333,0,0,0.072916667,Other-DILI-Concern,Low,Logistic regression model predictions 
cloperastine,0.005454545,0.016363636,0,0.005454545,0,0.036363636,0.158181818,0.070909091,0.012727273,0.009090909,0.012727273,0.009090909,0.010909091,0.001818182,0.014545455,0,0.150909091,0,0,0.056363636,0.012727273,0.005454545,0.056363636,0.334545455,0,0,0.02,Other-DILI-Concern,Low,Logistic regression model predictions 
clopidogrel,0.064489079,0.041355089,0.001805339,0.004794507,0.000779354,0.017145789,0.189807233,0.101641576,0.009480496,0.008217746,0.014728805,0.072055719,0.044729002,0.0110688,0.026419115,0.006698499,0.100684648,0.000355149,0.008849121,0.017639051,0.027346448,0.005090464,0.059398615,0.089842748,0.002683346,0.006274293,0.066619971,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clorazepate,0.029718622,0.031615555,0.008220044,0.006323111,0.003161555,0.0156497,0.058804932,0.107492887,0.026715144,0.006955422,0.011855833,0.070186532,0.042206766,0.019285488,0.021972811,0.002213089,0.192064496,0.007745811,0.004584255,0.142269997,0.018969333,0.009010433,0.043787543,0.085836231,0.003477711,0.004110022,0.025766677,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clorotepine,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.2,Most-DILI-Concern,High,Logistic regression model predictions 
clorprenaline,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,Most-DILI-Concern,High,Logistic regression model predictions 
clotiapine,0.021760633,0.035608309,0.003956479,0.001978239,0.006923838,0.012858556,0.043521266,0.070227498,0.013847676,0,0.007912957,0.079129575,0.058358061,0.014836795,0.037586548,0,0.269040554,0.003956479,0,0.191889219,0.019782394,0.009891197,0.034619189,0.03066271,0.00098912,0,0.03066271,Most-DILI-Concern,High,Logistic regression model predictions 
clotrimazole,0.004551161,0.007532957,0.005021971,0.008631513,0.000156937,0.010357815,0.072975518,0.213904583,0.003138732,0.026208412,0.043000628,0.057438795,0.015850596,0.003609542,0.013967357,0.001255493,0.065599498,0.005806654,0.018832392,0.015536723,0.012554928,0.152699309,0.016792216,0.204488387,0.000627746,0.001726303,0.017733836,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cloxacillin,0.024898284,0.00986202,0.000265346,0.001768972,4.42E-05,0.02741907,0.064655935,0.07929418,0.011188749,0.02803821,0.011719441,0.001857421,0.012471254,0.003626393,0.003980188,0.000707589,0.022731293,4.42E-05,0.000353794,0.003537944,0.018043517,0.001194056,0.036661949,0.620024766,8.84E-05,0.000353794,0.015168937,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
clozapine,0.144843081,0.073446964,0.001021255,0.000879529,0.001621502,0.00351395,0.060675028,0.11777775,0.01064189,0.001413083,0.058324059,0.035881468,0.150420382,0.023447172,0.011283821,0.018224184,0.099378494,0.00108378,0.000946224,0.062525792,0.014985348,0.003947462,0.037673874,0.011554766,0.002084193,0.021358811,0.03104614,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cobicistat,0.024154589,0.019323671,0.014492754,0.009661836,0.024154589,0.009661836,0.072463768,0.164251208,0.009661836,0.038647343,0.057971014,0.120772947,0.033816425,0.019323671,0.028985507,0.009661836,0.086956522,0.033816425,0,0.043478261,0.043478261,0.004830918,0.028985507,0.06763285,0.004830918,0.014492754,0.014492754,Other-DILI-Concern,Low,Logistic regression model predictions 
cobimetinib,0.016452442,0.023650386,0.000257069,0.003598972,0.004113111,0.051413882,0.115938303,0.150642674,0.023907455,0.009254499,0.053213368,0.03470437,0.079691517,0.035989717,0.040616967,0.02159383,0.049871465,0,0.000514139,0.014138817,0.029305913,0.002827763,0.030848329,0.183290488,0,0.002570694,0.02159383,Other-DILI-Concern,Low,Logistic regression model predictions 
codeine,0.005016256,0.024756154,0.001300511,0.00394798,0.000836043,0.01839294,0.129400836,0.091407339,0.008453321,0.181932188,0.010311194,0.079842081,0.020390153,0.008871342,0.013330237,0.001672085,0.093172318,0.00116117,0.00190432,0.094333488,0.010589875,0.001672085,0.043474222,0.125592197,0.005387831,0.002275894,0.020575941,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
coenzyme a,0,0.096645821,0,0.00113701,0,0.006253553,0.088118249,0.30358158,0.000568505,0.056850483,0,0.005116543,0.011370097,0,0.018192155,0,0.079590677,0.000568505,0,0.012507106,0,0,0.123365549,0.137578169,0,0,0.058555998,Most-DILI-Concern,High,Logistic regression model predictions 
coenzyme q10,0.009876543,0.033333333,0.004938272,0.012345679,0.003703704,0.012345679,0.132098765,0.15308642,0.012345679,0.028395062,0.014814815,0.033333333,0.064197531,0.020987654,0.079012346,0.008641975,0.1,0.002469136,0.009876543,0.056790123,0.012345679,0.008641975,0.043209877,0.101234568,0.003703704,0.00617284,0.032098765,Other-DILI-Concern,Low,Logistic regression model predictions 
colchicine,0.057834085,0.019254169,0.002362036,0.00271992,0.001073653,0.010664949,0.222317658,0.114737671,0.026125546,0.010020757,0.016462673,0.056187818,0.060911889,0.040369336,0.051392169,0.003292535,0.054469974,0.00157469,0.003006227,0.024479279,0.044663947,0.00293465,0.027270775,0.123756352,0.001932575,0.002648343,0.017536325,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colesevelam,0.003010537,0.011791269,0.000878073,0.004515805,0.002383342,0.008655294,0.186904165,0.209232313,0.005895635,0.012167587,0.016432514,0.184771701,0.080280983,0.018690416,0.08078274,0.005895635,0.055193176,0.000125439,0.003135976,0.017310587,0.010035123,0.002508781,0.026593076,0.028850978,0.002132464,0.011414952,0.01041144,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colestipol,0.005685407,0.012002527,0.000631712,0.008212255,0.005685407,0.014529375,0.225521162,0.140871762,0.020846494,0.024005054,0.017687934,0.092229943,0.059380922,0.020214782,0.057485786,0.003790272,0.060012634,0,0.06506633,0.018951358,0.012634239,0.008212255,0.041692988,0.063171194,0.00315856,0.001895136,0.01642451,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colforsin,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
colfosceril palmitate,0.037313433,0.052238806,0,0,0,0,0.007462687,0.201492537,0,0,0.037313433,0.007462687,0.02238806,0.02238806,0,0,0.052238806,0,0,0.007462687,0,0,0.5,0,0,0,0.052238806,Other-DILI-Concern,Low,Logistic regression model predictions 
colistimethate,0.017788462,0.011858974,0.002083333,0.006891026,0.000160256,0.006730769,0.05625,0.112339744,0.00625,0.009775641,0.076923077,0.090705128,0.104487179,0.015064103,0.011217949,0.001762821,0.063942308,0.000961538,0.007692308,0.015224359,0.136858974,0.000160256,0.090865385,0.135576923,0.000641026,0.007692308,0.010096154,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
colistin,0.017603988,0.011995638,0.002336813,0.007010438,0.000155788,0.006543075,0.057018227,0.114348029,0.0062315,0.0099704,0.076024303,0.092537778,0.102196604,0.014799813,0.011528275,0.001713663,0.064184452,0.000934725,0.007789375,0.014799813,0.134756193,0.000155788,0.092849353,0.13366568,0.000778938,0.00810095,0.0099704,Other-DILI-Concern,Low,Logistic regression model predictions 
conivaptan,0.012195122,0.12195122,0,0,0,0,0.012195122,0.341463415,0,0.012195122,0.012195122,0.085365854,0.146341463,0.06097561,0,0.012195122,0.036585366,0,0,0,0.012195122,0,0.036585366,0.024390244,0,0.012195122,0.06097561,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
conjugated linoleic acid,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
copanlisib,0.083333333,0.038461538,0,0.006410256,0,0,0.108974359,0.121794872,0.012820513,0,0.128205128,0.070512821,0.08974359,0.076923077,0.006410256,0.038461538,0.019230769,0,0,0,0.025641026,0.012820513,0.083333333,0.006410256,0,0.012820513,0.057692308,Most-DILI-Concern,High,Logistic regression model predictions 
corticotropin,0.006747086,0.022762898,0.000817829,0.004906972,0.006815239,0.026852041,0.064881074,0.197164861,0.001976419,0.014107544,0.058338445,0.063381722,0.091119744,0.046548082,0.064063245,0.0042936,0.083622981,0.000477067,0.00313501,0.05193212,0.026852041,0.004020991,0.053772235,0.053908539,0.004157296,0.012676344,0.030668575,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cosyntropin,0.011404134,0.050605845,0.002851033,0.002851033,0.012116892,0.011404134,0.070563079,0.150392017,0.005702067,0.089094797,0.011404134,0.021382751,0.037776194,0.032074127,0.016393443,0.000712758,0.100498931,0.003563792,0.002138275,0.043478261,0.009265859,0.005702067,0.060584462,0.162508909,0,0,0.085531005,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
coumarin,0.035856574,0.019920319,0.003984064,0.003984064,0.007968127,0.011952191,0.139442231,0.091633466,0.219123506,0.003984064,0.015936255,0.023904382,0.09561753,0.043824701,0.015936255,0.007968127,0.055776892,0.003984064,0.003984064,0.007968127,0.019920319,0.003984064,0.03187251,0.071713147,0,0,0.059760956,Most-DILI-Concern,High,Logistic regression model predictions 
creatine,0.016129032,0.024193548,0,0,0,0,0.048387097,0.161290323,0.024193548,0.008064516,0.032258065,0.056451613,0.177419355,0.024193548,0.056451613,0,0.10483871,0,0.008064516,0.056451613,0.080645161,0.016129032,0.024193548,0.040322581,0,0.008064516,0.032258065,Other-DILI-Concern,Low,Logistic regression model predictions 
